 51 1987.923384 2.881E-26 0.000E+00.03330.047 3909.65620.60-.003128              2              1                    P 30      475623 510 5 5 1 8E    0.0    0.0
 51 1988.914218 2.436E-23 0.000E+00.03060.045 2412.68010.55-.003128              1              0                    P 35      475623 510 5 5 1 8E    0.0    0.0
 51 1992.684726 4.849E-26 0.000E+00.03380.048 3796.01490.61-.003128              2              1                    P 29      475623 510 5 5 1 8E    0.0    0.0
 51 1993.862221 4.539E-23 0.000E+00.03110.045 2279.15110.56-.003128              1              0                    P 34      475623 510 5 5 1 8E    0.0    0.0
 51 1997.415307 8.004E-26 0.000E+00.03440.049 3686.11980.62-.003128              2              1                    P 28      475623 510 5 5 1 8E    0.0    0.0
 51 1998.780191 8.297E-23 0.000E+00.03160.046 2149.37990.57-.003128              1              0                    P 33      475623 510 5 5 1 8E    0.0    0.0
 51 2002.114985 1.296E-25 0.000E+00.03500.049 3579.97510.63-.003128              2              1                    P 27      475623 510 5 5 1 8E    0.0    0.0
 51 2003.667981 1.488E-22 0.000E+00.03210.046 2023.37150.58-.003128              1              0                    P 32      475623 510 5 5 1 8E    0.0    0.0
 51 2006.783612 2.056E-25 0.000E+00.03570.050 3477.58510.64-.003128              2              1                    P 26      475623 510 5 5 1 8E    0.0    0.0
 51 2008.525448 2.616E-22 0.000E+00.03270.047 1901.13080.59-.003128              1              0                    P 31      475623 510 5 5 1 8E    0.0    0.0
 51 2011.421043 3.201E-25 0.000E+00.03630.051 3378.95370.65-.003128              2              1                    P 25      475623 510 5 5 1 8E    0.0    0.0
 51 2013.352446 4.512E-22 0.000E+00.03330.047 1782.66240.60-.003128              1              0                    P 30      475623 510 5 5 1 8E    0.0    0.0
 51 2016.027134 4.882E-25 0.000E+00.03700.051 3284.08460.66-.003128              2              1                    P 24      475623 510 5 5 1 8E    0.0    0.0
 51 2018.148830 7.633E-22 0.000E+00.03380.048 1667.97090.61-.003128              1              0                    P 29      475623 510 5 5 1 8E    0.0    0.0
 51 2020.601738 7.300E-25 0.000E+00.03770.052 3192.98150.66-.003128              2              1                    P 23      475623 510 5 5 1 8E    0.0    0.0
 51 2022.914455 1.266E-21 0.000E+00.03440.049 1557.06070.62-.003128              1              0                    P 28      475623 510 5 5 1 8E    0.0    0.0
 51 2025.144711 1.070E-24 0.000E+00.03830.053 3105.64790.67-.003128              2              1                    P 22      475623 510 5 5 1 8E    0.0    0.0
 51 2027.649176 2.060E-21 0.000E+00.03500.049 1449.93590.63-.003128              1              0                    P 27      475623 510 5 5 1 8E    0.0    0.0
 51 2029.655904 1.536E-24 0.000E+00.03900.053 3022.08730.68-.003128              2              1                    P 21      475623 510 5 5 1 8E    0.0    0.0
 51 2032.352848 3.284E-21 0.000E+00.03570.050 1346.60080.64-.003128              1              0                    P 26      475623 510 5 5 1 8E    0.0    0.0
 51 2034.135174 2.160E-24 0.000E+00.03970.054 2942.30280.69-.003128              2              1                    P 20      475663 510 5 5 1 8E    0.0    0.0
 51 2037.025324 5.134E-21 0.000E+00.03630.051 1247.05920.65-.003128              1              0                    P 25      475623 510 5 5 1 8E    0.0    0.0
 51 2038.582374 2.975E-24 0.000E+00.04040.055 2866.29750.69-.003128              2              1                    P 19      475663 510 5 5 1 8E    0.0    0.0
 51 2041.666460 7.865E-21 0.000E+00.03700.051 1151.31500.66-.003128              1              0                    P 24      475623 510 5 5 1 8E    0.0    0.0
 51 2042.997357 4.012E-24 0.000E+00.04110.056 2794.07430.70-.003128              2              1                    P 18      475663 510 5 5 1 8E    0.0    0.0
 51 2046.276109 1.181E-20 0.000E+00.03770.052 1059.37180.66-.003128              1              0                    P 23      475623 510 5 5 1 1E    0.0    0.0
 51 2047.379978 5.296E-24 0.000E+00.04180.057 2725.63610.71-.003128              2              1                    P 17      475663 510 5 5 1 8E    0.0    0.0
 51 2050.854126 1.738E-20 0.000E+00.03830.053  971.23320.67-.003128              1              0                    P 22      475623 510 5 5 1 1E    0.0    0.0
 51 2051.730090 6.838E-24 0.000E+00.04240.058 2660.98550.71-.003128              2              1                    P 16      475663 510 5 5 1 8E    0.0    0.0
 51 2055.400364 2.504E-20 0.000E+00.03900.053  886.90240.68-.003128              1              0                    P 21      475623 510 5 5 1 1E    0.0    0.0
 51 2056.047547 8.636E-24 0.000E+00.04300.059 2600.12490.71-.003128              2              1                    P 15      475663 510 5 5 1 8E    0.0    0.0
 51 2059.914677 3.535E-20 0.000E+00.03970.054  806.38280.69-.003128              1              0                    P 20      475663 510 5 5 1 1E    0.0    0.0
 51 2060.332203 1.066E-23 0.000E+00.04360.059 2543.05670.72-.003128              2              1                    P 14      475663 510 5 5 1 8E    0.0    0.0
